City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Chabahar,IR,25.2919,60.643,81.41,72,87,4.14,overcast clouds
309,Dasoguz,TM,41.8363,59.9666,59.56,54,100,14.94,overcast clouds
310,Tynset,NO,62.2759,10.7824,29.82,85,86,1.61,overcast clouds
311,Carnarvon,AU,-24.8667,113.6333,86.07,45,88,8.05,overcast clouds
312,Yenagoa,NG,4.9247,6.2642,77.9,90,97,2.84,light rain
313,Olovyannaya,RU,50.95,115.5667,45.05,46,99,11.5,overcast clouds
314,Jaru,BR,-10.4389,-62.4664,72.61,95,86,2.26,overcast clouds
315,Kruisfontein,ZA,-34.0033,24.7314,51.89,78,74,4.85,broken clouds
316,Hay River,CA,60.8156,-115.7999,19.38,73,75,12.66,broken clouds
317,Floriano,BR,-6.7669,-43.0225,74.95,89,6,3.53,clear sky
318,Fortuna,US,40.5982,-124.1573,44.94,86,100,1.01,light rain
319,Codrington,AU,-38.2667,141.9667,75.58,43,18,5.03,few clouds
320,Oktyabrskiy,RU,54.4815,53.471,33.3,80,100,11.88,overcast clouds
321,Lerwick,GB,60.1545,-1.1494,46.4,90,100,24.99,overcast clouds
322,Leh,IN,34.1667,77.5833,37.49,50,82,2.53,broken clouds
323,Tukrah,LY,32.5341,20.5791,66.97,45,79,10.07,broken clouds
324,Rodrigues Alves,BR,-7.738,-72.6509,70.92,99,82,2.3,broken clouds
325,Lagunas,PE,-5.2269,-75.6753,71.64,98,50,1.79,scattered clouds
326,Zhigansk,RU,66.7697,123.3711,12.76,84,74,10.31,broken clouds
327,Urengoy,RU,65.9667,78.3667,28.72,90,100,5.08,overcast clouds
328,Anan,JP,33.9167,134.65,60.58,51,18,24.61,few clouds
329,Marsh Harbour,BS,26.5412,-77.0636,72.41,82,100,17.69,overcast clouds
330,Gravdal,NO,68.1214,13.5031,40.86,94,100,25.03,overcast clouds
331,Shenjiamen,CN,29.9576,122.298,55.94,55,100,15.43,overcast clouds
332,Carpentras,FR,44.0833,5.1667,61.32,83,4,7.72,clear sky
333,Ostersund,SE,63.1792,14.6357,36.05,75,100,8.05,overcast clouds
334,Howard Springs,AU,-12.497,131.047,89.98,71,66,6.51,broken clouds
335,Yumen,CN,40.2833,97.2,44.22,21,0,26.17,clear sky
336,Isangel,VU,-19.55,169.2667,83.88,70,14,9.46,few clouds
337,Fort Nelson,CA,58.8053,-122.7002,38.79,20,40,4.61,scattered clouds
338,Nurota,UZ,40.5614,65.6886,74.12,25,96,1.23,overcast clouds
339,Mwene-Ditu,CD,-7.0,23.45,65.61,96,100,0.98,overcast clouds
340,Dingle,PH,10.9995,122.6711,85.15,69,20,4.94,few clouds
341,Yambio,SS,4.5721,28.3955,67.42,96,100,5.61,overcast clouds
342,Aranos,NA,-24.1333,19.1167,64.96,43,33,7.92,scattered clouds
343,Berlevag,NO,70.8578,29.0864,35.4,98,100,21.34,overcast clouds
344,Pimenta Bueno,BR,-11.6725,-61.1936,71.94,98,61,2.82,broken clouds
